SSID;BSSID;Security;Frequency;Capabilities;Sinal Strength;Rel Signal Strength
Visitantes;a2:f3:c1:aa:60:34;WPA-PSK;2462;;;100
Dionei_Int;b8:55:10:79:62:74;WPA-PSK;2462;;;26
Noemi_Int;14:d6:4d:80:4f:b0;WPA-PSK;2437;WPS;;24
wireom15-p3;00:0c:42:6a:3e:90;WEP;2447;;;40
wireom5-p1;00:0b:6b:80:cd:d1;WEP;2432;;;22
Tanara_Int;1c:af:f7:99:15:ac;WPA-PSK;2427;WPS;;28
Merten_INT;a0:f3:c1:61:8f:a6;WPA-PSK;2422;WPS;;24
COOTRANSA;c4:e9:84:47:c7:04;WPA-PSK;2422;WPS;;15
Transnunes_Net;c4:e9:84:b8:55:64;WPA-PSK;2422;WPS;;24
wireom15-p2;00:0c:42:6b:81:4f;WEP;2427;;;17
HPC67620;02:2e:4e:79:98:74;;2457;;;24
Freitas_Int;64:70:02:3b:57:80;WPA-PSK;2427;WPS;;20
BM2;00:1a:3f:74:86:54;WPA-PSK;2462;;;15
SaoSebastiao_Int;64:66:b3:ec:fa:4c;WPA-PSK;2427;WPS;;22
Paulo_Lacerda;00:1a:3f:23:e4:72;WPA-PSK;2437;WPS;;24
BATISTA PNEUS;c4:6e:1f:df:7c:88;WPA-PSK;2462;WPS;;20
Bazana_INT;90:f6:52:c2:e1:ba;WPA-PSK;2437;WPS;;26
Gian_int;64:70:02:82:98:18;WPA-PSK;2417;WPS;;40
SJPH21;00:21:8d:02:64:2c;WPA-PSK;2447;;;17
SJPH32;4c:5e:0c:7b:15:91;WPA-PSK;2427;;;31
Valtair;c8:3a:35:0c:e2:18;WPA-PSK;2417;;;22
PNEUS;c0:4a:00:5d:01:14;WPA-PSK;2442;;;15
Pizzuti;e8:de:27:72:e8:8c;WPA-PSK;2427;WPS;;28
aliceadroaldo;00:1a:3f:29:f6:57;WPA-PSK;2462;;;20
SJPH42;00:1a:3f:ab:ec:1c;WPA-PSK;2462;WPS;;40
SHPH43;4c:5e:0c:7a:23:bd;WPA-PSK;2412;;;17
EDIO;00:1d:1a:0b:37:1c;WEP;2427;WPS;;20
wireom15-p4;00:02:6f:51:85:83;WEP;2412;;;24
CAROLINE;c4:e9:84:b8:8a:18;WPA-PSK;2422;WPS;;53
wireom8-p2;00:02:6f:61:93:80;WEP;2472;;;31
SJPH33;00:1a:3f:87:07:aa;WPA-PSK;2437;;;26
SJPH23;4c:5e:0c:7a:25:43;WPA-PSK;2447;;;35
SJPH;4c:5e:0c:7a:23:cf;WPA-PSK;2457;;;33
Visitantes_SJPH;4e:5e:0c:7a:23:cf;WPA-PSK;2457;;;26
SHPH34;00:1a:3f:9c:d3:7e;WPA-PSK;2417;WPS;;20
wireom15-p1;00:0c:42:6b:81:55;WEP;2412;;;33
Lusiana_Int;f4:6d:04:ea:a8:4c;WPA-PSK;2427;;;35
SJPH45;00:21:8d:02:ed:90;WPA-PSK;2412;;;31
N1_Isa;00:27:22:fc:70:12;WPA-PSK;2447;;;42
SJPH35;00:12:0e:97:d5:ab;WPA-PSK;2447;;;13
SJPH44;00:1a:3f:97:66:a6;WPA-PSK;2422;WPS;;44
Joao-Int;c4:e9:84:bd:55:50;WPA-PSK;2432;WPS;;33
Alan;64:66:b3:c1:58:32;WPA-PSK;2462;WPS;;33
Verlei_Int;e8:de:27:81:3c:ca;WPA-PSK;2427;WPS;;22
SJPH24;00:12:0e:9a:15:5b;WPA-PSK;2412;;;31
NP-R;00:0c:42:6e:14:11;WPA-PSK;2417;;;31
POSTO DO BATISTA;c4:6e:1f:e4:ff:58;WPA-PSK;2437;WPS;;13
Agua Azul Piscinas - Wifi;c4:e9:84:a7:c8:dc;WPA-PSK;2437;WPS;;31
GAVIOLI;78:44:76:18:3c:18;WPA-PSK;2462;;;40
GAVIOLI 2;c0:4a:00:c4:4c:b0;WPA-PSK;2412;WPS;;26
Faccin;14:cc:20:fa:09:7c;WPA-PSK;2422;WPS;;22
Rede Gavioli;00:26:5a:5a:cf:ec;WPA-PSK;2437;;;24
GAVIOLI_CASA;00:1a:ef:14:ee:22;WPA-PSK;2412;WPS;;40
Leonel_Int;c4:6e:1f:3c:ab:ee;WPA-PSK;2427;WPS;;35
Aline1_Int;c8:3a:35:06:f0:a0;WPA-PSK;2422;;;33
higor_pc;64:66:b3:ed:15:ea;WPA-PSK;2412;WPS;;28
Laura_Int;64:66:b3:a0:ff:d6;WPA-PSK;2427;WPS;;26
HP-Print-85-Deskjet 2540 series;ec:b1:d7:fc:fd:85;WPA-PSK;2422;;;44
Aline2_Int;c4:e9:84:3d:75:84;WPA-PSK;2422;WPS;;35
Rafael_Int;c8:3a:35:2f:e3:48;WPA-PSK;2422;;;40
Carla_INT;c8:be:19:88:b2:36;WPA-PSK;2462;WPS;;26
Elizabete_Int;c8:3a:35:48:6b:b8;WPA-PSK;2447;;;26
Tania_Int;30:b5:c2:d5:07:16;WPA-PSK;2427;WPS;;20
FERNANDA-PC_Network_1;6c:fd:b9:39:56:d4;WPA-PSK;2412;WPS;;35
BatCaverna;c8:3a:35:31:a0:28;WPA-PSK;2447;;;33
Julio-Wifi;c4:6e:1f:ce:ba:ea;WEP;2462;WPS;;20
Eduardo;64:70:02:f7:f7:c2;WPA-PSK;2412;WPS;;17
Halysson;00:21:91:6b:af:52;WPA-PSK;2437;;;40
GILSANE M;c8:3a:35:51:72:98;WPA-PSK;2412;;;22
NEONET;c8:3a:35:08:71:60;WPA-PSK;2437;;;31
Maria_Int;30:b5:c2:da:db:e4;WPA-PSK;2427;WPS;;20
Fernanda_Int;64:66:b3:ec:fb:8c;WPA-PSK;2427;WPS;;17
